group_id,param_E,param_v,param_sigma_y,param_H,x,y,u,v,type
0,215585,0.302629,286.704,1675.64,9.5,2,0.00243196,0.00766335,0
0,215585,0.302629,286.704,1675.64,10,2,6.94E-18,0.00717082,0
0,215585,0.302629,286.704,1675.64,10.5,2,-0.00243196,0.00766335,0
0,215585,0.302629,286.704,1675.64,11,2,-0.00571112,0.00904887,0
0,215585,0.302629,286.704,1675.64,11.5,2,-0.0104135,0.0111565,0
0,215585,0.302629,286.704,1675.64,12,2,-0.0166463,0.0136621,0
0,215585,0.302629,286.704,1675.64,12.5,2,-0.0241884,0.0163173,0
0,215585,0.302629,286.704,1675.64,13,2,-0.0326408,0.0187269,0
0,215585,0.302629,286.704,1675.64,13.5,2,-0.041742,0.0209123,0
0,215585,0.302629,286.704,1675.64,14,2,-0.0512104,0.0226216,0
0,215585,0.302629,286.704,1675.64,14.5,2,-0.0611173,0.0243706,0
0,215585,0.302629,286.704,1675.64,15,2,-0.071313,0.025945,0
0,215585,0.302629,286.704,1675.64,15.5,2,-0.0822099,0.0282932,0
0,215585,0.302629,286.704,1675.64,16,2,-0.0935836,0.0308591,0
0,215585,0.302629,286.704,1675.64,16.5,2,-0.106183,0.0349632,0
0,215585,0.302629,286.704,1675.64,17,2,-0.119435,0.0395443,0
0,215585,0.302629,286.704,1675.64,17.5,2,-0.134451,0.0466161,0
0,215585,0.302629,286.704,1675.64,18,2,-0.149629,0.0546081,0
0,215585,0.302629,286.704,1675.64,18.5,2,-0.165535,0.0659518,0
0,215585,0.302629,286.704,1675.64,19,2,-0.176034,0.0758133,0
0,215585,0.302629,286.704,1675.64,19.5,2,-0.184569,0.0839725,0
0,215585,0.302629,286.704,1675.64,20,2,-0.188627,0.0915641,0
0,215585,0.302629,286.704,1675.64,0,2.5,0.193856,0.0936246,0
0,215585,0.302629,286.704,1675.64,0.5,2.5,0.190893,0.0898372,0
0,215585,0.302629,286.704,1675.64,1,2.5,0.186277,0.0840253,0
0,215585,0.302629,286.704,1675.64,1.5,2.5,0.178525,0.0772039,0
0,215585,0.302629,286.704,1675.64,2,2.5,0.169453,0.0695902,0
0,215585,0.302629,286.704,1675.64,2.5,2.5,0.156906,0.0609881,0
0,215585,0.302629,286.704,1675.64,3,2.5,0.144441,0.0543062,0
